show_id,title,type,platform,primary_genre,imdb_rating,rotten_tomatoes_score,duration_minutes,release_year,hours_watched_million,engagement,score,release_period,total_titles,avg_imdb,avg_rt,total_hours_watched_million,avg_budget,total_awards
s1,When the Stars Fall,Movie,Netflix,Drama,6.3,56,102.0,2007,7,7,6.02,Mid,2832,6.82,67.28,188250,20.92,853
s2,A Silent Echo,Movie,Amazon Prime Video,Thriller,7.5,80,105.0,1996,4,4,7.7,Older,1155,6.79,67.52,83691,20.39,367
s3,Between Lives,Movie,Netflix,Comedy,8.6,82,92.0,2026,31,31,8.44,Recent,2180,6.86,68.5,152111,20.3,694
s4,A Silent Echo,Movie,Disney+,Thriller,5.5,73,117.0,1994,51,51,6.22,Older,1155,6.79,67.52,83691,20.39,367
s5,Labyrinth,Movie,Amazon Prime Video,Action,6.1,62,139.0,1987,12,12,6.14,Older,1078,6.78,67.18,72029,49.17,321
s6,Between Tomorrow and Never,Movie,HBO Max,Thriller,8.3,77,124.0,2004,75,75,8.06,Older,1155,6.79,67.52,83691,20.39,367
s7,The Recruit,TV Show,Amazon Prime Video,Documentary,7.7,82,,2014,1,1,7.9,Mid,1065,6.91,68.65,61809,3.64,360
s8,The Morning Show,TV Show,Peacock,Kids,6.6,68,,2026,65,65,6.68,Recent,388,6.81,67.13,28861,,114
s9,Beyond the Silence,Movie,Peacock,Documentary,6.5,49,86.0,2022,7,7,5.86,Recent,1065,6.91,68.65,61809,3.64,360
s10,The Last Whisper,Movie,HBO Max,Crime,5.4,48,101.0,2017,108,108,5.16,Recent,1002,6.83,68.01,65679,20.92,261
s11,The Lincoln Lawyer,TV Show,Amazon Prime Video,Thriller,6.2,55,,2016,7,7,5.92,Recent,1155,6.79,67.52,83691,20.39,367
s12,Midnight,Movie,JioCinema,Crime,8.5,86,98.0,2017,19,19,8.54,Recent,1002,6.83,68.01,65679,20.92,261
s13,Squid Game,TV Show,Netflix,Reality TV,9.0,97,,2013,5,5,9.28,Mid,618,6.56,65.36,37974,,146
s14,A Distant Memory,Movie,Amazon Prime Video,Horror,7.2,69,125.0,2021,81,81,7.08,Recent,519,6.55,64.52,39706,21.33,128
